ride_id,started_at,ended_at,member_casual,ride_length_min,day_name,hour,month,season,rideable_type,is_weekend,ride_category
7569BC890583FCD7,1/21/2025 17:23,1/21/2025 17:37,member,13.95,Tuesday,17,January,Winter,classic_bike,FALSE,0-15min
013609308856B7FC,1/11/2025 15:44,1/11/2025 15:49,member,5.066666667,Saturday,15,January,Winter,electric_bike,TRUE,0-15min
EACACD3CE0607C0D,1/2/2025 15:16,1/2/2025 15:28,member,11.58333333,Thursday,15,January,Winter,classic_bike,FALSE,0-15min
EAA2485BA64710D3,1/23/2025 8:49,1/23/2025 8:52,member,3.566666667,Thursday,8,January,Winter,classic_bike,FALSE,0-15min
7F8BE2471C7F746B,1/16/2025 8:38,1/16/2025 8:41,member,2.583333333,Thursday,8,January,Winter,electric_bike,FALSE,0-15min
0B8DD16A9B77A1C7,1/2/2025 16:09,1/2/2025 16:10,member,1.816666667,Thursday,16,January,Winter,electric_bike,FALSE,0-15min
65DD88D2EA5AA24A,1/19/2025 1:12,1/19/2025 1:15,member,3.9,Sunday,1,January,Winter,electric_bike,TRUE,0-15min
EAC4EE361C030130,1/24/2025 6:43,1/24/2025 7:01,member,18.16666667,Friday,6,January,Winter,electric_bike,FALSE,16-30min
46267A54446162B5,1/6/2025 8:45,1/6/2025 8:50,member,4.916666667,Monday,8,January,Winter,electric_bike,FALSE,0-15min
B5D4F9782121EA51,1/1/2025 16:56,1/1/2025 17:03,member,6.833333333,Wednesday,16,January,Winter,electric_bike,FALSE,0-15min
3C1E48C025E88653,12/31/2024 23:52,1/1/2025 0:23,member,31.3,Tuesday,23,December,Winter,classic_bike,FALSE,31-60min
B157E60BBF2BA5F6,1/4/2025 17:23,1/4/2025 17:30,member,7,Saturday,17,January,Winter,electric_bike,TRUE,0-15min
81AE62C30F86C0D2,1/24/2025 18:11,1/24/2025 18:17,member,5.566666667,Friday,18,January,Winter,classic_bike,FALSE,0-15min
4978AFB4F96F17A6,1/1/2025 12:20,1/1/2025 12:28,member,8.1,Wednesday,12,January,Winter,classic_bike,FALSE,0-15min
1DCC4C0315A3B282,1/6/2025 13:52,1/6/2025 13:54,member,1.816666667,Monday,13,January,Winter,classic_bike,FALSE,0-15min
5B29C4C95B5320DA,1/10/2025 6:06,1/10/2025 6:11,member,5.016666667,Friday,6,January,Winter,electric_bike,FALSE,0-15min
18048F3531DAF576,1/16/2025 9:20,1/16/2025 9:23,member,3.45,Thursday,9,January,Winter,electric_bike,FALSE,0-15min
E2ACFA5C736376F6,1/4/2025 15:26,1/4/2025 15:42,member,15.91666667,Saturday,15,January,Winter,electric_bike,TRUE,16-30min
B1810A3462EAA084,1/17/2025 8:13,1/17/2025 8:15,member,2.5,Friday,8,January,Winter,classic_bike,FALSE,0-15min
461D6EC2A99BC110,1/9/2025 9:45,1/9/2025 10:05,casual,20.2,Thursday,9,January,Winter,classic_bike,FALSE,16-30min
172BD369FF6D3ADA,1/27/2025 16:51,1/27/2025 17:19,member,28.31666667,Monday,16,January,Winter,classic_bike,FALSE,16-30min
AF381E3683CE622B,1/13/2025 18:24,1/13/2025 18:31,member,6.633333333,Monday,18,January,Winter,classic_bike,FALSE,0-15min
90912007C68DC8DA,1/30/2025 17:35,1/30/2025 17:51,member,16.73333333,Thursday,17,January,Winter,electric_bike,FALSE,16-30min
5A7142E8A39FC161,1/24/2025 15:56,1/24/2025 16:00,member,3.733333333,Friday,15,January,Winter,electric_bike,FALSE,0-15min
2D20CCFBE6719E47,1/9/2025 13:12,1/9/2025 13:19,member,7.166666667,Thursday,13,January,Winter,classic_bike,FALSE,0-15min
009707A9E9077E1D,1/9/2025 17:09,1/9/2025 17:48,member,39.48333333,Thursday,17,January,Winter,classic_bike,FALSE,31-60min
3DE54C00139A213B,1/15/2025 11:53,1/15/2025 11:56,member,3.483333333,Wednesday,11,January,Winter,classic_bike,FALSE,0-15min
DAFEB128254B6252,1/1/2025 17:21,1/1/2025 17:36,member,14.51666667,Wednesday,17,January,Winter,classic_bike,FALSE,0-15min
29EB50E4965FA8A6,1/28/2025 7:17,1/28/2025 7:21,member,4.616666667,Tuesday,7,January,Winter,electric_bike,FALSE,0-15min
260FC94B2A150AE5,1/16/2025 9:10,1/16/2025 9:22,casual,12.71666667,Thursday,9,January,Winter,electric_bike,FALSE,0-15min
4B81EE1E1B413989,1/17/2025 10:39,1/17/2025 10:48,casual,8.633333333,Friday,10,January,Winter,electric_bike,FALSE,0-15min
0B6242FC5805AB59,1/28/2025 12:28,1/28/2025 12:50,casual,21.71666667,Tuesday,12,January,Winter,electric_bike,FALSE,16-30min
